"GO.ID";"classicFisher";"weighted"
"GO:0007600";"1.000";"1.000"
"GO:0008033";"1.000";"1.000"
"GO:0008064";"1.000";"1.000"
"GO:0008104";"1.000";"1.000"
"GO:0008154";"1.000";"1.000"
"GO:0008156";"1.000";"1.000"
"GO:0008202";"1.000";"1.000"
"GO:0008203";"1.000";"1.000"
"GO:0008204";"1.000";"1.000"
"GO:0008213";"1.000";"1.000"
"GO:0008215";"1.000";"1.000"
"GO:0008216";"1.000";"1.000"
"GO:0008219";"1.000";"1.000"
"GO:0008272";"1.000";"1.000"
"GO:0008283";"1.000";"1.000"
"GO:0008295";"1.000";"1.000"
"GO:0008299";"1.000";"1.000"
"GO:0008380";"1.000";"1.000"
"GO:0008535";"1.000";"1.000"
"GO:0008610";"1.000";"1.000"
"GO:0008612";"1.000";"1.000"
"GO:0008614";"1.000";"1.000"
"GO:0008615";"1.000";"1.000"
"GO:0008616";"1.000";"1.000"
"GO:0008643";"1.000";"1.000"
"GO:0008652";"1.000";"1.000"
"GO:0008654";"1.000";"1.000"
"GO:0009052";"1.000";"1.000"
"GO:0009056";"1.000";"1.000"
"GO:0009057";"1.000";"1.000"
"GO:0009060";"1.000";"1.000"
"GO:0009062";"1.000";"1.000"
"GO:0009063";"1.000";"1.000"
"GO:0009064";"1.000";"1.000"
"GO:0009065";"1.000";"1.000"
"GO:0009066";"1.000";"1.000"
"GO:0009067";"1.000";"1.000"
"GO:0009069";"1.000";"1.000"
"GO:0009070";"1.000";"1.000"
"GO:0009071";"1.000";"1.000"
"GO:0009072";"1.000";"1.000"
"GO:0009073";"1.000";"1.000"
"GO:0009074";"1.000";"1.000"
"GO:0009081";"1.000";"1.000"
"GO:0009082";"1.000";"1.000"
"GO:0009084";"1.000";"1.000"
"GO:0009085";"1.000";"1.000"
"GO:0009086";"1.000";"1.000"
"GO:0009088";"1.000";"1.000"
"GO:0009094";"1.000";"1.000"
"GO:0009095";"1.000";"1.000"
"GO:0009097";"1.000";"1.000"
"GO:0009098";"1.000";"1.000"
"GO:0009100";"1.000";"1.000"
"GO:0009101";"1.000";"1.000"
"GO:0009102";"1.000";"1.000"
"GO:0009106";"1.000";"1.000"
"GO:0009107";"1.000";"1.000"
"GO:0009110";"1.000";"1.000"
"GO:0009112";"1.000";"1.000"
"GO:0009113";"1.000";"1.000"
"GO:0009116";"1.000";"1.000"
"GO:0009117";"1.000";"1.000"
"GO:0009119";"1.000";"1.000"
"GO:0009123";"1.000";"1.000"
"GO:0009124";"1.000";"1.000"
"GO:0009126";"1.000";"1.000"
"GO:0009127";"1.000";"1.000"
"GO:0009129";"1.000";"1.000"
"GO:0009130";"1.000";"1.000"
"GO:0009132";"1.000";"1.000"
"GO:0009135";"1.000";"1.000"
"GO:0009141";"1.000";"1.000"
"GO:0009142";"1.000";"1.000"
"GO:0009144";"1.000";"1.000"
"GO:0009145";"1.000";"1.000"
"GO:0009147";"1.000";"1.000"
