"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"TrF0744W";38,9073878591796;-4,97329200011785;0,768752353576154;1,17290997549112e-11;1,58529022877887e-10
"TrD0010W";9,24808848660755;-4,94257630780308;1,60256778293767;0,000112225349476074;0,000541184936795489
"TrB1089W";58,0162955015603;-4,94026607902694;0,531409118924364;2,72679216297802e-21;7,87072381957893e-20
"TrG0359C";803,74490008482;-4,93154685760465;0,314996634459187;2,511757073559e-56;3,71958460545303e-54
"TrE0109C";1344,1999906682;-4,92455160790195;0,423120187649516;1,93692817744557e-32;1,11188382680555e-30
"TrD0135C";119,096268734685;-4,91735963974131;0,52534640890175;6,71087008434006e-22;2,0050196059002e-20
"TrE1220C";2,55287605144357;-4,91083251978619;2,65135044264501;0,000614189114152985;0,00251031374736608
"TrE0166C";2,80035834451795;-4,90999915989553;3,07175811873403;0,00186283324538148;0,00667640480579025
"TrB1936W";196,369369451824;-4,90384385882298;1,21606067457375;2,479979049307e-06;1,63376948210274e-05
"TrE0434C";1001,0146265243;-4,90102053522496;0,462614019699719;1,78797926050414e-27;7,74134410331835e-26
"TrB0430C";13,1409711392758;-4,8953862662939;1,06681186696256;9,87692208847006e-07;6,92197461591132e-06
"TrE0181W";1313,43432058048;-4,87520904230947;0,470564346510535;2,76559450021099e-26;1,07858185508229e-24
"TrB0188C";938,940991297418;-4,86684449209378;0,361243173712077;1,5659584623506e-42;1,35601386172021e-40
"TrC0875W";42,1264204151281;-4,85629838546499;0,756207826890344;1,92264127007521e-11;2,54476016808659e-10
"TrD1347W";419,307592281566;-4,84927820321568;0,961665189875835;2,32573037994315e-08;2,09377207244574e-07
"TrA0159C";11,0188604480415;-4,8318984154584;1,24412356084713;2,01763754137939e-05;0,000112166596288436
"TrA0009W";175,74303108253;-4,81938250441118;0,392388535311702;1,17496432050198e-35;7,74566801734789e-34
"TrA0421C";128,361826707415;-4,81492346219847;1,25327645178489;5,2429966677485e-06;3,25671367483612e-05
"TrE1218C";1435,92547661354;-4,81362044807345;0,269561709096823;9,69722428064994e-73;2,30433110929491e-70
