"";"mutant_DD";"mutant_LL";"WT_DD";"WT_LL"
"TrA0163C";3,27797286317673;4,00655870787378;2,82868753713217;3,95158021777293
"TrA0164W";7,41565349452135;7,86042068568459;7,29958689687771;7,69749412097051
"TrA0165W";4,88244643731666;4,49701496242518;4,77488133394388;4,69913184841641
"TrA0166C";4,57864460701632;5,07349912919187;4,14803039376644;4,91349088125982
"TrA0167C";6,59910582959847;7,46495422840743;6,56474852714457;7,45874843174224
"TrA0168W";5,52973962209909;5,17048247314508;5,4124278593079;5,09834935013872
"TrA0169C";6,46304365115111;6,55605044409119;6,62051414536427;6,71066311136387
"TrA0170W";1,51767859355797;1,99678568309292;1,3097570729093;2,33582066562874
"TrA0171W";3,07823583737395;3,31918596533549;3,32471753756083;3,14069505898926
"TrA0172W";6,82976933595316;6,95723892555139;7,42205134466743;5,09801398077895
"TrA0173C";-4,86508699255889;-1,73319202886893;-4,38744154238451;-0,120295368007873
"TrA0174W";0,927344565859517;8,25339675757978;0,731484726868078;9,6146783738896
"TrA0175W";2,92149240489965;1,51611912537467;2,31193213812933;0,194560202367813
"TrA0176C";4,89743095157977;4,96535388733221;4,76548605426048;4,82928480118367
"TrA0177W";5,22334008233179;4,99181628508876;5,08286646313501;4,71096711728861
"TrA0178C";6,9112126359844;6,38713317013181;6,85710581810083;6,2895684051995
"TrA0179W";4,66139606963488;4,85313752183021;4,52036054489996;4,7245450127411
"TrA0180W";5,49831154217336;6,09650545512351;5,25332429329417;6,16081278049533
"TrA0181C";6,65476958139841;4,60804405660216;6,74802478916226;4,01968402949865
"TrA0182C";5,96122376827855;6,1877131485589;5,90113750409384;6,31396109599779
"TrA0183W";5,69178983568343;5,63310682038868;5,80229881068305;5,89705972137917
"TrA0184W";3,03212919048956;3,42737840886332;3,07686446241423;2,85846937934572
"TrA0185W";8,53994858126509;8,84171966929392;8,46816995642938;8,92421126138037
"TrA0186W";4,40295449032875;4,6704298420618;4,61401128001437;4,62037764527751
"TrA0187W";2,65852977916872;3,62311603754865;2,83106580703461;3,96681233576625
"TrA0188C";7,10238980643555;6,0043454298394;7,01461894947312;6,41335593593018
"TrA0189C";5,82305325366957;5,89171970624546;5,52290917881293;5,97717985235379
